Schedule = guided | Threads = 32 | Chunk = 1000
Elapsed time = 6.210688e-02 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 6.687894e-02 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 6.186854e-02 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.791510e-01 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 6.062649e-02 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.741668e-01 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 6.039709e-02 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 6.065297e-02 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 6.123002e-02 seconds | threads=32 | OMP_SCHEDULE=guided,1000
Elapsed time = 1.220472e-01 seconds | threads=32 | OMP_SCHEDULE=guided,1000
