Strong 2D scaling NP=8
Run | Total_Time | Communication | Computation
1 | 2.074041e+00 | 1.159675e+00 | 9.143655e-01
2 | 3.569646e+00 | 1.229591e+00 | 2.340055e+00
3 | 2.055712e+00 | 1.187096e+00 | 8.686166e-01
4 | 2.283235e+00 | 1.380807e+00 | 9.024274e-01
5 | 2.099610e+00 | 1.222893e+00 | 8.767164e-01
6 | 2.432518e+00 | 1.170410e+00 | 1.262108e+00
7 | 2.151875e+00 | 1.166939e+00 | 9.849355e-01
8 | 2.284070e+00 | 1.126026e+00 | 1.158044e+00
9 | 2.116913e+00 | 1.161424e+00 | 9.554894e-01
10 | 2.794487e+00 | 1.345097e+00 | 1.449390e+00
