Strong concurrent scaling NP=2
Run | Total_Time | Communication | Computation
1 | 2.286554e+00 | 7.770939e-01 | 1.509460e+00
2 | 2.161897e+00 | 5.916777e-01 | 1.570219e+00
3 | 2.760452e+00 | 8.107193e-01 | 1.949733e+00
4 | 2.173468e+00 | 6.220891e-01 | 1.551379e+00
5 | 1.979854e+00 | 7.728775e-01 | 1.206977e+00
6 | 1.324739e+00 | 5.931423e-01 | 7.315967e-01
7 | 1.476367e+00 | 7.095883e-01 | 7.667785e-01
8 | 2.247436e+00 | 6.036770e-01 | 1.643759e+00
9 | 2.223929e+00 | 6.148534e-01 | 1.609076e+00
10 | 2.004154e+00 | 7.036958e-01 | 1.300458e+00
