Strong mpiio scaling NP=128
Run | Total_Time | Communication | Computation
1 | 2.735785e+00 | 2.616466e+00 | 1.193194e-01
2 | 2.765874e+00 | 2.675473e+00 | 9.040093e-02
3 | 2.682503e+00 | 2.586952e+00 | 9.555078e-02
4 | 2.868989e+00 | 2.679690e+00 | 1.892991e-01
5 | 2.677063e+00 | 2.630681e+00 | 4.638124e-02
6 | 2.830005e+00 | 2.720994e+00 | 1.090114e-01
7 | 2.868106e+00 | 2.697758e+00 | 1.703477e-01
8 | 2.747396e+00 | 2.567346e+00 | 1.800501e-01
9 | 2.877796e+00 | 2.725678e+00 | 1.521180e-01
10 | 2.763604e+00 | 2.652166e+00 | 1.114385e-01
