Strong scaling NP=2
Run | Total_Time | Communication | Computation
1 | 1.393926e+00 | 6.041000e-01 | 7.898264e-01
2 | 1.589760e+00 | 7.727993e-01 | 8.169608e-01
3 | 1.304101e+00 | 6.157525e-01 | 6.883481e-01
4 | 1.220285e+00 | 5.831389e-01 | 6.371458e-01
5 | 1.230025e+00 | 5.839484e-01 | 6.460762e-01
6 | 1.272197e+00 | 6.051302e-01 | 6.670671e-01
7 | 1.209186e+00 | 5.334840e-01 | 6.757016e-01
8 | 1.271772e+00 | 5.847700e-01 | 6.870022e-01
9 | 1.324143e+00 | 6.317599e-01 | 6.923831e-01
10 | 1.253987e+00 | 5.488648e-01 | 7.051220e-01
