Weak 2D scaling NP=128
Run | Total_Time | Communication | Computation
1 | 1.126630e-01 | 7.126546e-02 | 4.139757e-02
2 | 1.168175e-01 | 6.682229e-02 | 4.999518e-02
3 | 1.122158e-01 | 8.160448e-02 | 3.061128e-02
4 | 1.147354e-01 | 7.206583e-02 | 4.266953e-02
5 | 1.260710e-01 | 8.477497e-02 | 4.129601e-02
6 | 1.195018e-01 | 8.913088e-02 | 3.037095e-02
7 | 1.223068e-01 | 8.587646e-02 | 3.643036e-02
8 | 1.169477e-01 | 7.960916e-02 | 3.733850e-02
9 | 1.130054e-01 | 8.727479e-02 | 2.573061e-02
10 | 1.227911e-01 | 8.609653e-02 | 3.669453e-02
