Weak concurrent scaling NP=16
Run | Total_Time | Communication | Computation
1 | 4.669523e-02 | 1.500010e-02 | 3.169513e-02
2 | 4.808950e-02 | 1.403904e-02 | 3.405046e-02
3 | 5.476952e-02 | 1.378512e-02 | 4.098439e-02
4 | 5.085635e-02 | 1.412416e-02 | 3.673220e-02
5 | 7.493687e-02 | 1.355696e-02 | 6.137991e-02
6 | 4.993582e-02 | 1.378298e-02 | 3.615284e-02
7 | 6.143332e-02 | 1.343870e-02 | 4.799461e-02
8 | 5.816340e-02 | 1.394272e-02 | 4.422069e-02
9 | 8.169174e-02 | 1.335311e-02 | 6.833863e-02
10 | 6.908679e-02 | 1.365209e-02 | 5.543470e-02
