Weak mpiio scaling NP=8
Run | Total_Time | Communication | Computation
1 | 1.635933e-02 | 3.437042e-03 | 1.292229e-02
2 | 1.685786e-02 | 3.938198e-03 | 1.291966e-02
3 | 1.624870e-02 | 4.192829e-03 | 1.205587e-02
4 | 1.632333e-02 | 3.697634e-03 | 1.262569e-02
5 | 1.618147e-02 | 4.167318e-03 | 1.201415e-02
6 | 1.649714e-02 | 4.506111e-03 | 1.199102e-02
7 | 1.642466e-02 | 3.754854e-03 | 1.266980e-02
8 | 1.848221e-02 | 4.465818e-03 | 1.401639e-02
9 | 1.552463e-02 | 4.018307e-03 | 1.150632e-02
10 | 1.662207e-02 | 3.573418e-03 | 1.304865e-02
