Weak scaling NP=32 - Matrix: WS6.mtx
Run | Total_Time | Communication | Computation
1 | 5.911226e-01 | 5.148525e-01 | 7.627010e-02
2 | 1.870167e-01 | 1.290100e-01 | 5.800676e-02
3 | 2.488184e-01 | 1.956794e-01 | 5.313897e-02
4 | 5.715120e-01 | 5.200779e-01 | 5.143404e-02
5 | 9.557486e-02 | 5.444813e-02 | 4.112673e-02
6 | 1.456079e-01 | 9.591222e-02 | 4.969573e-02
7 | 1.600693e+00 | 1.392793e+00 | 2.079000e-01
8 | 1.687919e+00 | 1.479928e+00 | 2.079914e-01
9 | 1.794113e+00 | 1.623247e+00 | 1.708655e-01
10 | 4.937718e-01 | 4.245293e-01 | 6.924248e-02
