Performance results for ./matrix/3.mtx with 32 threads
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
56,150,189,852 | 795,256,558 | 324,779,256 | 17,699,661
56,150,679,445 | 800,663,629 | 325,263,315 | 19,905,460
56,150,902,786 | 795,101,244 | 324,623,790 | 25,499,028
56,149,565,362 | 804,474,202 | 325,352,383 | 17,239,689
56,150,559,676 | 799,087,216 | 325,013,943 | 18,980,388
56,150,468,352 | 802,396,491 | 325,369,858 | 16,718,721
56,150,704,512 | 796,831,705 | 325,174,912 | 17,763,021
56,150,571,298 | 794,684,606 | 324,646,146 | 16,993,294
56,151,432,226 | 795,545,606 | 324,808,756 | 18,011,175
56,150,644,055 | 802,842,808 | 325,437,693 | 19,560,118
