Performance results for ./matrix/1.mtx with 2 threads
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
569,707,282 | 5,764,601 | 112,853 | 22,556
569,715,663 | 5,756,083 | 103,794 | 20,458
569,702,866 | 5,768,879 | 155,453 | 23,369
569,718,346 | 5,759,241 | 102,441 | 19,970
569,717,332 | 5,755,327 | 111,256 | 21,118
569,711,235 | 5,760,030 | 114,426 | 22,075
569,719,124 | 5,772,437 | 121,535 | 20,417
569,716,328 | 5,757,925 | 126,543 | 22,396
569,714,419 | 5,750,524 | 118,681 | 21,689
569,712,396 | 5,754,763 | 125,326 | 25,137
