Performance results for ./matrix/4.mtx | threads=4 | chunksize=1000
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
77,576,643,176 | 343,644,797 | 1,575,902 | 901,499
77,576,641,537 | 340,658,703 | 1,617,300 | 887,213
77,577,065,361 | 343,646,490 | 2,177,293 | 1,166,502
77,577,066,810 | 344,757,275 | 2,142,840 | 1,155,616
77,577,064,948 | 346,048,136 | 2,228,120 | 1,186,446
77,577,082,184 | 344,760,524 | 2,215,158 | 1,183,634
77,577,064,081 | 344,072,343 | 2,198,899 | 1,168,383
77,577,065,736 | 347,622,727 | 2,186,607 | 1,177,530
77,577,063,893 | 344,726,319 | 2,246,633 | 1,159,879
77,577,065,941 | 345,650,081 | 2,185,834 | 1,206,335
