Performance results for ./matrix/2.mtx | threads=64 | chunksize=100
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
2,853,822,040 | 36,548,258 | 899,663 | 173,376
2,859,119,323 | 36,669,976 | 1,065,463 | 273,056
2,848,080,643 | 36,389,017 | 824,807 | 192,714
2,854,485,651 | 36,440,188 | 961,822 | 252,738
2,857,113,433 | 36,474,383 | 876,348 | 195,779
2,855,573,276 | 36,565,633 | 1,062,127 | 236,789
2,858,901,027 | 36,276,694 | 873,402 | 225,848
2,855,483,488 | 36,395,381 | 1,035,592 | 201,057
2,845,765,304 | 36,540,575 | 994,112 | 224,612
2,847,900,585 | 36,385,554 | 1,037,784 | 140,822
