Performance results for ./matrix/4.mtx | threads=4 | chunksize=100
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
77,576,795,648 | 340,745,709 | 1,433,942 | 793,837
77,576,971,176 | 342,269,833 | 1,501,240 | 885,372
77,576,763,993 | 341,525,851 | 1,461,375 | 805,982
77,576,928,339 | 342,801,372 | 1,441,479 | 804,675
77,576,937,471 | 341,115,134 | 1,558,636 | 794,200
77,577,874,944 | 363,665,751 | 2,481,974 | 1,579,708
77,577,546,711 | 340,573,964 | 1,483,031 | 784,709
77,576,710,405 | 342,532,304 | 1,401,225 | 807,834
77,577,872,772 | 358,915,043 | 2,518,372 | 1,586,140
77,576,762,402 | 342,233,767 | 1,358,468 | 773,840
