Performance results for ./matrix/2.mtx | threads=8 | chunksize=1000
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
2,804,994,882 | 36,290,403 | 781,547 | 200,488
2,805,030,828 | 36,354,957 | 753,920 | 201,376
2,805,006,597 | 36,377,560 | 933,004 | 201,556
2,805,006,878 | 36,276,384 | 737,417 | 202,402
2,804,998,314 | 36,399,277 | 696,737 | 203,431
2,804,999,840 | 36,279,252 | 807,126 | 201,397
2,804,992,331 | 36,327,828 | 795,556 | 202,021
2,805,033,349 | 36,294,671 | 1,080,867 | 200,139
2,804,999,172 | 36,298,913 | 682,732 | 204,077
2,805,059,211 | 36,412,753 | 896,839 | 200,912
