Performance results for ./matrix/3.mtx | threads=32 | chunksize=1000
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
56,166,147,574 | 1,088,366,230 | 475,747,669 | 27,911,039
56,159,549,204 | 807,339,753 | 334,221,493 | 21,801,237
56,159,463,302 | 1,089,928,188 | 477,273,208 | 29,445,805
56,159,258,830 | 808,437,158 | 334,513,882 | 20,879,176
56,159,641,296 | 812,789,530 | 334,820,403 | 19,558,429
56,159,370,038 | 1,031,595,760 | 474,960,632 | 26,623,398
56,159,485,824 | 811,845,789 | 334,461,185 | 19,042,517
56,159,188,903 | 1,092,809,785 | 477,212,014 | 29,156,785
56,159,572,163 | 1,088,592,384 | 477,586,994 | 29,351,191
56,159,876,919 | 1,088,183,697 | 476,518,191 | 28,917,487
