Performance results for ./matrix/4.mtx | threads=4 | chunksize=100
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
68,846,378,356 | 345,269,959 | 2,831,776 | 832,417
68,846,383,677 | 344,919,610 | 2,826,982 | 828,860
68,846,383,994 | 346,386,363 | 2,756,131 | 841,734
68,847,678,134 | 355,211,783 | 3,374,706 | 1,351,741
68,846,378,122 | 347,064,755 | 2,779,712 | 823,716
68,846,382,274 | 347,388,186 | 2,820,536 | 836,404
68,846,388,879 | 344,465,738 | 2,851,085 | 833,120
68,846,379,891 | 344,950,061 | 2,825,615 | 838,552
68,846,380,181 | 345,134,493 | 2,891,923 | 823,831
68,846,384,785 | 346,687,236 | 2,821,141 | 824,196
