Performance results for ./matrix/2.mtx | threads=32 | chunksize=100
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
2,945,704,321 | 36,279,960 | 825,980 | 112,772
2,943,503,041 | 32,108,175 | 864,890 | 102,015
2,942,946,995 | 32,082,071 | 608,157 | 104,711
2,945,747,735 | 36,343,500 | 803,375 | 106,873
2,945,716,549 | 36,254,412 | 806,758 | 112,507
2,945,899,080 | 36,289,777 | 858,126 | 109,685
2,945,796,846 | 36,247,867 | 1,008,907 | 109,309
2,945,825,091 | 36,316,667 | 1,082,409 | 106,986
2,945,649,742 | 36,241,829 | 865,715 | 110,658
2,945,594,114 | 36,214,485 | 786,176 | 108,837
