Performance results for ./matrix/5.mtx | threads=32 | chunksize=1
L1-dcache-loads | L1-dcache-load-misses | LLC-loads | LLC-load-misses
121,886,615,862 | 964,453,636 | 228,790,028 | 51,412,049
121,888,874,020 | 968,343,486 | 255,217,198 | 100,103,053
121,888,398,478 | 980,489,339 | 250,731,612 | 63,466,584
121,881,342,090 | 1,010,912,746 | 302,447,761 | 100,742,364
121,888,016,124 | 1,005,999,965 | 269,457,047 | 76,041,350
121,872,047,832 | 1,010,647,955 | 295,733,805 | 96,485,198
121,872,338,641 | 976,687,149 | 282,402,738 | 80,819,404
121,872,558,601 | 1,015,465,257 | 302,862,435 | 104,724,272
121,876,758,163 | 1,015,411,681 | 302,716,607 | 102,687,396
121,882,118,582 | 998,314,305 | 297,454,726 | 98,293,677
