Performance results for ./matrix/4.mtx
L1-loads | L1-misses | LLC-loads | LLC-misses
76,641,299,843 | 344,743,242 | 1,476,522 | 803,371
76,641,299,849 | 342,986,962 | 1,592,485 | 827,784
76,641,299,842 | 342,481,288 | 1,630,183 | 824,465
76,641,299,858 | 345,970,957 | 2,047,208 | 830,205
76,641,299,840 | 343,831,997 | 1,701,708 | 833,849
76,641,299,863 | 347,382,762 | 1,803,457 | 831,132
76,641,299,850 | 345,589,746 | 1,541,059 | 829,566
76,641,299,869 | 345,838,644 | 1,836,380 | 829,910
76,641,299,859 | 347,209,961 | 1,937,764 | 957,150
76,641,299,842 | 344,808,548 | 1,539,673 | 835,239
